# Centroids from Martin Hieronymi by his ONNS algorithm in 2017
# The values here are first log-transformed and then area-normalized (the second column)
# lgRrs = log10(Rrs + 1); ` + 1` is used to avoid some negative input (failure by atmospheric correction) while the spectral shape is still good
# norm_lgRrs = lgRrs / trapz(lgRrs)
# Update Mar-18 2022
OWT,SumlgRrs,400,412,443,490,510,560,620,665,755,778,865
ONNS1,0.002952868,0.037907944,0.043019025,0.059169868,0.094833152,0.113453482,0.175022351,0.201634559,0.182749883,0.036678503,0.039327382,0.016203853
ONNS2,0.001123222,0.027862579,0.031650026,0.043689778,0.069319523,0.083078811,0.131901837,0.201613141,0.252165087,0.063178259,0.067584093,0.027956866
ONNS3,0.091919632,0.0299699,0.032663041,0.042047585,0.065129703,0.074990572,0.103692112,0.127295344,0.134794644,0.129375313,0.135194687,0.1248471
ONNS4,0.062009101,0.042482554,0.046234335,0.05932678,0.092002419,0.105918537,0.144625963,0.161730896,0.155311635,0.073315849,0.078630675,0.040420358
ONNS5,0.01390448,0.075941004,0.081615858,0.101055441,0.157335696,0.178632578,0.209637961,0.101244698,0.064257759,0.011984285,0.012893292,0.005401429
ONNS6,0.009583777,0.088037937,0.095760208,0.119946802,0.183594427,0.195093984,0.190439699,0.068467959,0.041491215,0.006832863,0.00732571,0.003009196
ONNS7,0.00082977,0.046305471,0.040206606,0.034724715,0.047268208,0.071557397,0.124309748,0.070561253,0.041011983,0.216527055,0.216856932,0.090670631
ONNS8,0.000929649,0.045679219,0.040144025,0.039388123,0.052971876,0.06288856,0.064565647,0.121910174,0.061538296,0.209762587,0.210643715,0.090507779
ONNS9,0.006264731,0.12258107,0.124453524,0.134669143,0.177865596,0.180150279,0.15769714,0.055942346,0.03301679,0.005453932,0.00582798,0.0023422
ONNS10,0.006152507,0.160984564,0.155031049,0.150642647,0.176340774,0.163824063,0.121295671,0.039831267,0.022904938,0.00367488,0.003915765,0.001554381
ONNS11,0.009510634,0.191987611,0.192692317,0.191113211,0.186740567,0.133245266,0.074389825,0.016921681,0.009566086,0.001357316,0.00143018,0.000555941
ONNS12,0.01081071,0.2015526,0.207516194,0.208140937,0.184839876,0.117089806,0.058930528,0.012576149,0.007012828,0.000953779,0.001005115,0.000382189
ONNS13,0.01288562,0.234283238,0.232687584,0.214580173,0.162750411,0.094267556,0.045207053,0.009293013,0.005148538,0.000728226,0.000762019,0.000292189
